a-ait-ant-e-er-é-ée-ées-és            11
a-en                                  11
age-e-es                              11
al-ale-aux-e-es                       11
ce-te                                 11
e-es-ien                              11
e-es-o                                11
e-es-on                               11
e-es-ées                              11
e-ia                                  11
e-on                                  11
e-sme                                 11
e-és                                  11
en-ens-sme                            11
it-nt-nte                             11
nce-r                                 11
o-u                                   11
que-te                                11
sme-te-tes                            11
0-1-2                                 10
0-5-8                                 10
1-7                                   10
2-3-4                                 10
2-8                                   10
NULL-a-ait-ant-nt-r                   10
NULL-a-e                              10
NULL-ans                              10
NULL-au                               10
NULL-ays                              10
NULL-b                                10
NULL-eau                              10
NULL-ens                              10
NULL-ier-ii-iii-iv                    10
NULL-j                                10
NULL-l-s                              10
NULL-nne-ns                           10
NULL-on-ons                           10
NULL-os                               10
NULL-ra                               10
NULL-ra-re                            10
NULL-s-te-tes                         10
NULL-s-x                              10
NULL-ski                              10
NULL-sse                              10
NULL-to                               10
NULL-ur-urs                           10
NULL-urs                              10
NULL-use-ux                           10
a-ait-ant-e-ent-er-ât-é-ée-ées-és     10
a-ait-e-er                            10
a-ait-e-ont                           10
a-ant-er                              10
a-er-é-ée                             10
a-er-é-ée-ées-és                      10
a-um-us                               10
a-é                                   10
ait-ant-e-ent-it                      10
ant-e-ent                             10
ant-e-ent-er                          10
ant-e-ent-er-é-ée-ées-és              10
ard-on-ons                            10
ce-t-te-ts                            10
e-ea-ent-er-é-ée-ées-és               10
e-es-é-és                             10
e-es-ée                               10
e-ion                                 10
e-t                                   10
g-m-m/h-m2                            10
g-m2                                  10
ge-ges-nt                             10
ge-it-nt                              10
i-us                                  10
i-ï                                   10
ire-nt                                10
les-ux                                10
que-sme-ste                           10
s-te                                  10
y-é-és                                10
0-9                                   9
1-2-NULL                              9
1-9                                   9
4-5-6                                 9
4-NULL                                9
6-7-8                                 9
6-7-8-9                               9
7-NULL                                9
NULL-a-ait-ant-e-ent-er-s-é-ée-ées-és 9
NULL-age                              9
NULL-ana                              9
NULL-ble-nt                           9
NULL-e-es-ité-s                       9
NULL-e-es-r-ra-s-t                    9
NULL-e-i                              9
NULL-eux-s                            9
NULL-ev                               9
NULL-f                                9
NULL-i-it                             9
NULL-i-o                              9
NULL-ier-s                            9
NULL-is-s                             9
NULL-it-nt-tif                        9
NULL-l-le-les-ux                      9
NULL-li                               9
NULL-ly                               9
NULL-mm                               9
NULL-n-r                              9
NULL-nt-r-ra-ur-urs                   9
NULL-nt-ur-urs                        9
NULL-ons                              9
NULL-sk                               9
NULL-tan                              9
NULL-ure                              9
NULL-»                                9
a-ant-e-er-é-ée-ées-és                9
a-ent                                 9
a-ien                                 9
a-ose                                 9
age-eur                               9
ait-ant-ent-it                        9
an-án                                 9
ant-e-er                              9
as-e                                  9
ce-ces-t-ts                           9
ce-ts                                 9
ck-k                                  9
d-l                                   9
de-s                                  9
dra-ne-t                              9
e-es-i                                9
e-es-ia                               9
e-io                                  9
e-é-és                                9
er-ion                                9
er-é-ée-és                            9
er-ées                                9
er-és                                 9
es-i                                  9
es-ité                                9
es-és                                 9
f-fs-on-ons                           9
fs-on-ons                             9
l-n                                   9
le-ux                                 9
mme-phe                               9
n-se                                  9
ne-te                                 9
nt-s                                  9
1-2-5                                 8
3-7-9                                 8
6-7-9                                 8
NULL-a-as                             8
NULL-a-us                             8
NULL-al-ale-aux-s                     8
NULL-at                               8
NULL-d-s                              8
NULL-e-es-is                          8
NULL-e-o                              8
NULL-ey                               8
NULL-ge-ges-nt                        8
NULL-i-ii-v                           8
NULL-ium                              8
NULL-ley                              8
NULL-lle                              8
NULL-mai                              8
NULL-nus                              8
NULL-r-s-ur-urs                       8
NULL-ri                               8
NULL-s-te                             8
NULL-s-y                              8
NULL-sen                              8
NULL-ter                              8
NULL-ti                               8
NULL-ux                               8
a-ait-ant-e-ent                       8
a-ait-ant-e-ent-er-era-ât-é-ée-ées-és 8
a-e-ent-er                            8
a-ha                                  8
age-e-er-es                           8
age-é                                 8
ait-ant-e-ent-er-é-ée-ées-és          8
ait-e-ent                             8
ant-e-es                              8
ble-on-ons                            8
ce-ces-t-te-ts                        8
dés-nés                               8
dés-s                                 8
e-es-ite                              8
e-es-que-ste                          8
e-es-um                               8
e-in                                  8
e-ne                                  8
e-ure                                 8
ent-son-t                             8
er-i-ii-v-x                           8
er-s                                  8
erg-urg                               8
f-on-ons-ve                           8
i-u                                   8
ie-ies-y                              8
ie-s                                  8
in-n                                  8
ion-s                                 8
ire-r                                 8
ire-ry                                8
les-s                                 8
ne-que                                8
o-s                                   8
o-um                                  8
s-se-ses-t                            8
s-té                                  8
s-z                                   8
sme-ste-té-tés                        8
ère-éra                               8
ère-éra-éré                           8
'-g                                   7
-or-NULL                              7
/an-NULL                              7
0-1-2-3-4                             7
0-1-5                                 7
0-4-5                                 7
3-4-8                                 7
4-5-7                                 7
